time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-09T21:11:05.850Z,38.8366661,-122.7923355,2.33,1.2,md,23,54,0.002334,0.02,nc,nc73731431,2022-05-09T21:19:10.527Z,"6km WNW of Cobb, CA",earthquake,0.23,0.48,0.19,4,automatic,nc,nc
2022-05-09T20:58:02.860Z,17.9358333333333,-66.9143333333333,9.46,3.03,md,19,216,,0.23,pr,pr71348113,2022-05-09T21:11:41.700Z,"4 km S of Guánica, Puerto Rico",earthquake,0.88,0.62,0.0834559065070302,5,reviewed,pr,pr
2022-05-09T20:49:44.410Z,17.9045,-66.905,9.16,2.72,md,20,233,,0.1,pr,pr71348103,2022-05-09T21:15:27.230Z,"7 km S of Guánica, Puerto Rico",earthquake,0.39,0.39,0.225697440208257,9,reviewed,pr,pr
2022-05-09T20:36:21.780Z,33.3325,-116.3916667,7.26,1.15,ml,35,75,0.06759,0.22,ci,ci40255080,2022-05-09T20:40:02.938Z,"9km N of Borrego Springs, CA",earthquake,0.31,0.91,0.139,27,automatic,ci,ci
2022-05-09T20:23:48.510Z,38.822834,-122.8044968,3.29,0.5,md,15,71,0.004392,0.03,nc,nc73731416,2022-05-09T20:42:18.201Z,"7km NW of The Geysers, CA",earthquake,0.33,1.01,0.35,2,automatic,nc,nc
2022-05-09T20:19:41.810Z,33.7158333,-116.839,14.19,0.99,ml,38,61,0.0763,0.16,ci,ci40255072,2022-05-09T21:15:45.929Z,"6km SE of Valle Vista, CA",earthquake,0.24,0.47,0.182,26,reviewed,ci,ci
2022-05-09T20:14:22.840Z,38.8308334,-122.810997,2.01,1,md,20,46,0.007462,0.01,nc,nc73731406,2022-05-09T20:31:16.117Z,"8km NW of The Geysers, CA",earthquake,0.2,0.48,0.23,2,automatic,nc,nc
2022-05-09T20:00:34.400Z,32.9015,-116.9496667,3.04,1.55,ml,28,126,0.08815,0.27,ci,ci40255056,2022-05-09T20:04:16.848Z,"6km NNW of Lakeside, CA",earthquake,0.51,0.76,0.165,31,automatic,ci,ci
2022-05-09T19:57:14.710Z,33.8718333,-117.5015,0.57,1.14,ml,18,84,0.0718,0.3,ci,ci40255040,2022-05-09T20:01:05.047Z,"2km ESE of Home Gardens, CA",quarry blast,0.73,31.61,0.206,31,automatic,ci,ci
2022-05-09T19:35:12.780Z,33.6445,-116.6831667,12.8,0.69,ml,19,72,0.02556,0.07,ci,ci40255024,2022-05-09T21:15:00.813Z,"10km N of Anza, CA",earthquake,0.17,0.3,0.095,4,reviewed,ci,ci
2022-05-09T19:28:27.340Z,66.2868,-153.0029,0.1,1.3,ml,,,,1.42,ak,ak0225xnt2cu,2022-05-09T19:30:32.384Z,"32 km SSW of New Allakaket, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-05-09T19:26:56.900Z,34.0595,-117.2568333,16.12,1.08,ml,39,95,0.05062,0.2,ci,ci40255016,2022-05-09T21:02:41.490Z,"1km NNE of Loma Linda, CA",earthquake,0.3,0.53,0.153,16,reviewed,ci,ci
2022-05-09T19:16:48.110Z,38.8233337,-122.8033371,3.2,1.83,md,34,39,0.005263,0.03,nc,nc73731381,2022-05-09T21:09:17.435Z,"6km NW of The Geysers, CA",earthquake,0.21,0.35,0.09,9,automatic,nc,nc
2022-05-09T19:13:43.929Z,64.6619,-146.8705,8.7,1.1,ml,,,,0.76,ak,ak0225xnpvw8,2022-05-09T19:15:43.480Z,"8 km E of Eielson Air Force Base, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-05-09T19:09:35.720Z,39.6856,-119.7329,8.5,1.7,ml,14,67.91,0.118,0.1894,nn,nn00838548,2022-05-09T19:59:25.416Z,"4 km NNW of Spanish Springs, Nevada",earthquake,,2.6,0.29,10,reviewed,nn,nn
2022-05-09T19:06:39.490Z,38.8341675,-122.7963333,1.77,0.36,md,7,90,0.00631,0.01,nc,nc73731376,2022-05-09T20:42:19.202Z,"6km WNW of Cobb, CA",earthquake,0.5,1.36,,1,automatic,nc,nc
2022-05-09T18:58:15.650Z,33.0431667,-116.353,11.87,1.15,ml,39,48,0.07923,0.17,ci,ci40254992,2022-05-09T19:58:10.662Z,"23km WSW of Ocotillo Wells, CA",earthquake,0.18,0.49,0.177,13,reviewed,ci,ci
